R' U' R U' R' U2 R U R U2 R' U' R U' R'  (15f*) 
R U2 R' U R' U' R' U' R2 U' R2 U2 R2 U R' U2 R' U R U' R2 U  (22f) 
R' U' R' U' R2 U' R2 U R U R U' R2 U' R' U' R2 U R U' R2 U  (22f) 
R' U' R U' R' U' R' U2 R U2 R U R2 U' R' U' R2 U R U' R2 U  (22f) 
R' U' R' U' R' U R U R' U R U' R' U' R' U2 R2 U R U' R2 U  (22f) 
R2 U R U R' U2 R2 U R' U R2 U2 R2 U' R2 U2 R U R U' R2 U  (22f) 
R' U' R U' R' U R U' R' U' R U' R2 U2 R2 U R' U' R' U2 R2 U  (22f) 
R U R2 U R U R' U R2 U2 R2 U R' U R2 U2 R2 U' R' U2 R2 U  (22f) 
R' U' R U2 R2 U2 R' U R2 U R U' R U' R' U' R' U2 R' U2 R2 U  (22f) 
R U2 R2 U R2 U' R2 U2 R2 U' R U' R' U R U' R' U2 R' U2 R2 U  (22f) 
R' U R2 U2 R2 U' R U2 R U R' U2 R U' R' U R2 U2 R' U2 R2 U  (22f) 
R' U' R' U' R U' R2 U' R' U2 R2 U' R' U R2 U2 R U R' U2 R2 U  (22f) 
R U R U R2 U2 R2 U2 R' U' R2 U' R' U' R' U R U R' U2 R2 U  (22f) 
R U R2 U R U R U' R' U' R U2 R2 U2 R' U' R' U' R2 U2 R2 U  (22f) 
R U R U R2 U2 R2 U' R U R U' R' U' R' U2 R' U' R2 U2 R2 U  (22f) 
R' U' R' U' R2 U2 R2 U R' U' R' U R U R U2 R U R2 U2 R2 U  (22f) 
R' U' R2 U' R' U' R' U R U R' U2 R2 U2 R U R U R2 U2 R2 U  (22f) 
R' U' R' U' R2 U2 R2 U2 R U R2 U R U R U' R' U' R U2 R2 U  (22f) 
R U R U R' U R2 U R U2 R2 U R U' R2 U2 R' U' R U2 R2 U  (22f) 
R U' R2 U2 R2 U R' U2 R' U' R U2 R' U R U' R2 U2 R U2 R2 U  (22f) 
R' U2 R2 U' R2 U R2 U2 R2 U R' U R U' R' U R U2 R U2 R2 U  (22f) 
R U R' U2 R2 U2 R U' R2 U' R' U R' U R U R U2 R U2 R2 U  (22f) 
R' U' R2 U' R' U' R U' R2 U2 R2 U' R U' R2 U2 R2 U R U2 R2 U  (22f) 
R U R' U R U' R' U R U R' U R2 U2 R2 U' R U R U2 R2 U  (22f) 
R2 U' R' U' R U2 R2 U' R U' R2 U2 R2 U R2 U2 R' U' R' U R2 U  (22f) 
R U R U R U' R' U' R U' R' U R U R U2 R2 U' R' U R2 U  (22f) 
R U R' U R U R U2 R' U2 R' U' R2 U R U R2 U' R' U R2 U  (22f) 
R U R U R2 U R2 U' R' U' R' U R2 U R U R2 U' R' U R2 U  (22f) 
R' U2 R U' R U R U R2 U R2 U2 R2 U' R U2 R U' R' U R2 U  (22f) 
R2 U' R2 U' R' U' R2 U2 R U2 R' U' R' U' R U R' U2 R' U R2 U  (22f) 
R2 U' R' U R U' R' U' R' U2 R2 U2 R U' R' U' R2 U2 R' U R2 U  (22f) 
R U2 R2 U2 R' U' R2 U' R U R U' R' U R' U2 R U2 R' U R2 U  (22f) 
R2 U R U R' U R U R2 U R2 U R' U2 R' U' R' U R' U R2 U  (22f) 
R' U2 R' U' R2 U' R U2 R2 U2 R' U2 R' U' R' U' R U R' U R2 U  (22f) 
R2 U' R' U R2 U2 R2 U' R' U' R U2 R2 U2 R' U' R' U' R2 U R2 U  (22f) 
R' U2 R U' R2 U2 R' U R U' R U R' U R U' R' U' R2 U R2 U  (22f) 
R' U R U2 R' U' R U2 R2 U2 R U R2 U R U' R' U' R2 U R2 U  (22f) 
R2 U' R U' R' U R2 U' R' U2 R2 U2 R' U2 R U R2 U' R2 U R2 U  (22f) 
R' U' R' U R2 U2 R2 U' R' U' R U2 R2 U' R U' R2 U2 R2 U R2 U  (22f) 
R' U R2 U2 R U R2 U2 R' U R U' R2 U R' U' R2 U' R U R2 U  (22f) 
R2 U2 R U2 R U' R U2 R' U R U2 R' U2 R U2 R2 U' R U R2 U  (22f) 
R U' R U R2 U R U' R' U R U' R2 U2 R' U2 R2 U2 R U R2 U  (22f) 
R' U R2 U R' U R U' R' U' R U2 R U' R2 U2 R2 U2 R U R2 U  (22f) 
R U2 R2 U R U R2 U R U' R' U R U' R U2 R2 U2 R U R2 U  (22f) 
R U R2 U R U' R2 U' R' U2 R2 U2 R' U' R' U' R U2 R U R2 U  (22f) 
R' U R2 U R' U' R2 U' R U2 R2 U2 R' U' R' U' R U2 R U R2 U  (22f) 
R U R' U R U' R' U R U2 R2 U2 R' U' R' U' R2 U R U R2 U  (22f) 
R' U2 R' U2 R U R U' R' U R U' R2 U R' U' R2 U R U R2 U  (22f) 
R' U' R U R' U' R' U R2 U' R U R' U R2 U R U R U R2 U  (22f) 
R U R U' R2 U' R' U R' U2 R2 U2 R2 U2 R' U' R2 U' R' U' R U  (22f) 
R U R U' R2 U' R' U R U2 R2 U2 R2 U2 R U' R2 U' R' U' R U  (22f) 
R' U2 R' U R' U' R' U' R U2 R' U' R2 U' R U R U' R' U' R U  (22f) 
R2 U R U' R2 U' R U2 R U R2 U2 R U R U R U' R' U' R U  (22f) 
R U R2 U2 R2 U R U R U' R2 U' R' U2 R2 U' R' U2 R' U' R U  (22f) 
R2 U' R2 U2 R2 U' R' U' R' U R2 U R U2 R2 U R2 U2 R' U' R U  (22f) 
R2 U' R2 U' R2 U2 R2 U' R' U' R2 U2 R' U' R U' R' U R' U' R U  (22f) 
R' U' R2 U2 R U2 R' U R U R' U R' U' R U' R' U R' U' R U  (22f) 
R2 U' R2 U2 R2 U' R2 U R2 U2 R U R2 U2 R2 U' R' U' R2 U' R U  (22f) 
R U2 R U R U' R U R U2 R2 U2 R U' R U' R' U' R2 U' R U  (22f) 
R' U R' U2 R2 U2 R' U' R2 U' R2 U' R U' R U R' U2 R2 U' R U  (22f) 
R U R' U' R U' R' U' R' U R' U2 R2 U' R2 U R2 U2 R U' R U  (22f) 
R' U2 R' U' R2 U2 R U' R' U' R U2 R2 U' R U R2 U2 R U' R U  (22f) 
R U R U2 R2 U R U' R2 U' R U' R U' R' U2 R U2 R U' R U  (22f) 
R U' R' U R2 U2 R U' R2 U R U2 R U2 R' U' R' U R U' R U  (22f) 
R2 U' R U' R U R U R2 U2 R' U2 R U' R2 U' R' U R U' R U  (22f) 
R' U' R2 U R2 U' R2 U2 R2 U R' U2 R' U' R' U2 R U R U' R U  (22f) 
R U R U R2 U2 R U' R' U2 R U R U2 R U' R' U' R' U2 R U  (22f) 
R2 U R2 U' R2 U2 R2 U' R2 U2 R U' R2 U2 R U2 R' U' R' U2 R U  (22f) 
R' U' R U' R' U R' U R U R' U' R' U' R' U R' U' R' U2 R U  (22f) 
R U R' U R U' R U2 R' U R' U2 R' U R' U2 R2 U' R' U2 R U  (22f) 
R' U' R U' R' U' R' U' R' U' R' U R U R U' R U' R' U2 R U  (22f) 
R2 U R2 U R2 U' R2 U2 R' U R2 U2 R U2 R2 U2 R U' R' U2 R U  (22f) 
R' U' R U' R U R U R U' R' U' R' U' R' U R U' R' U2 R U  (22f) 
R U2 R2 U' R U' R2 U2 R2 U2 R' U2 R' U2 R' U R U' R' U2 R U  (22f) 
R2 U R2 U R2 U R2 U R2 U R2 U2 R U2 R' U2 R' U2 R' U2 R U  (22f) 
R2 U' R' U R' U' R' U2 R' U2 R' U R' U' R' U R' U2 R' U2 R U  (22f) 
R' U' R U2 R U R U2 R U R U' R U' R' U' R2 U2 R' U2 R U  (22f) 
R U2 R2 U R' U2 R U2 R U2 R U R U2 R2 U' R U2 R' U2 R U  (22f) 
R' U R U2 R U R U2 R' U2 R2 U2 R U R2 U2 R U2 R' U2 R U  (22f) 
R' U' R U2 R' U R2 U R' U' R2 U' R2 U R' U' R' U R' U2 R U  (22f) 
R U2 R U' R U' R2 U2 R2 U2 R2 U' R2 U R' U2 R' U R' U2 R U  (22f) 
R U2 R U' R U R2 U2 R2 U2 R2 U R2 U R' U2 R' U R' U2 R U  (22f) 
R U2 R2 U' R U R2 U2 R2 U2 R U' R U2 R U2 R' U R' U2 R U  (22f) 
R2 U R U' R2 U2 R' U2 R2 U R U2 R2 U2 R U R U R' U2 R U  (22f) 
R' U2 R2 U2 R2 U' R' U R U2 R' U' R U2 R2 U' R U' R2 U2 R U  (22f) 
R U2 R2 U' R' U' R' U R' U' R U R' U' R2 U R U' R2 U2 R U  (22f) 
R' U' R U' R' U R U' R2 U R U R2 U' R' U' R' U2 R2 U2 R U  (22f) 
R2 U R2 U R2 U R2 U R2 U R U2 R U2 R U2 R' U2 R2 U2 R U  (22f) 
R2 U' R' U2 R2 U' R U2 R' U2 R2 U R U' R' U' R U' R U2 R U  (22f) 
R' U' R' U R U R U2 R' U' R U2 R' U R U' R2 U2 R U2 R U  (22f) 
R2 U2 R U R U2 R U' R2 U2 R U R2 U2 R' U2 R2 U2 R U2 R U  (22f) 
R' U' R U R2 U2 R U' R' U R' U R U2 R U R U2 R U2 R U  (22f) 
R2 U2 R' U2 R U' R U R2 U2 R2 U R U' R' U R' U R U2 R U  (22f) 
R' U' R U' R' U R U' R' U2 R' U' R' U' R2 U R U R U2 R U  (22f) 
R' U' R' U R U2 R' U' R' U' R2 U2 R2 U R' U2 R' U' R' U R U  (22f) 
R' U2 R2 U R U R U2 R' U' R U R2 U R' U2 R' U' R' U R U  (22f) 
R U2 R' U2 R' U2 R2 U2 R' U' R2 U R2 U R' U2 R2 U' R' U R U  (22f) 
R' U' R' U R U' R2 U2 R' U R2 U R' U' R' U R U' R' U R U  (22f) 
R' U' R' U2 R2 U R' U R2 U R2 U2 R U R U R2 U2 R' U R U  (22f) 
R2 U R' U2 R2 U' R U2 R2 U R2 U' R U2 R2 U' R2 U R' U R U  (22f) 
R' U' R U' R' U R U' R2 U2 R U R U' R2 U2 R2 U R' U R U  (22f) 
R' U2 R U2 R U2 R2 U2 R' U' R' U R2 U2 R' U' R2 U' R2 U R U  (22f) 
R U R2 U' R2 U2 R2 U2 R' U' R2 U' R' U2 R U2 R2 U2 R2 U R U  (22f) 
R U2 R U R' U2 R2 U2 R U2 R' U R2 U' R' U R2 U2 R2 U R U  (22f) 
R' U R2 U2 R U' R' U2 R U' R2 U' R U R' U R U R2 U R U  (22f) 
R' U2 R' U R2 U' R U R' U R2 U' R2 U' R2 U' R' U R U R U  (22f) 
R U R' U2 R' U' R' U R2 U2 R' U R' U' R U' R U R U R U  (22f) 
R2 U' R2 U' R' U R U' R2 U' R U2 R2 U2 R' U2 R U R U R U  (22f) 
U2 R2 U R' U' R2 U R U2 R' U R2 U R2 U R2 U' R' U' R' U' R'  (22f) 
U2 R' U2 R U2 R U2 R U' R2 U R U2 R' U' R U2 R' U' R' U' R'  (22f) 
U' R2 U2 R U' R2 U R U' R U' R' U2 R' U' R2 U R' U' R' U' R'  (22f) 
U R2 U' R U R2 U2 R' U' R' U' R U R' U R U R' U' R' U' R'  (22f) 
U R2 U' R U R2 U' R' U' R2 U' R U R U R2 U' R2 U' R' U' R'  (22f) 
U R' U2 R U R U R' U2 R' U' R' U2 R U R' U2 R2 U' R' U' R'  (22f) 
U2 R U R U' R U R' U' R' U' R2 U2 R U R' U2 R2 U' R' U' R'  (22f) 
U R2 U2 R U' R' U' R U R U R2 U R U2 R2 U2 R2 U' R' U' R'  (22f) 
U R2 U2 R2 U R U2 R U R U R' U' R' U R2 U2 R2 U' R' U' R'  (22f) 
U' R U2 R2 U R U2 R U R' U R' U' R U' R2 U R2 U' R' U' R'  (22f) 
U2 R U R U' R2 U R2 U' R U R U' R' U' R' U' R U' R' U' R'  (22f) 
U2 R' U' R' U R U R' U' R' U' R U2 R' U2 R' U' R U' R' U' R'  (22f) 
U R2 U2 R' U R U2 R2 U R' U' R2 U2 R' U' R2 U' R U' R' U' R'  (22f) 
U' R U2 R U' R U R2 U R2 U R' U2 R U' R2 U' R U' R' U' R'  (22f) 
U' R2 U2 R' U R' U' R' U2 R U R' U R U R U' R U' R' U' R'  (22f) 
U' R2 U R' U' R2 U R U R' U R2 U R U R U' R U' R' U' R'  (22f) 
U2 R' U R U2 R' U2 R2 U R2 U' R2 U' R U' R U2 R U' R' U' R'  (22f) 
U2 R' U R U2 R' U R' U R2 U R2 U' R2 U2 R U2 R U' R' U' R'  (22f) 
U' R U2 R' U' R U2 R U' R U R2 U' R' U' R' U R U' R' U' R'  (22f) 
U2 R' U' R' U' R U R U R' U2 R' U2 R' U R U R U' R' U' R'  (22f) 
U' R U' R2 U' R' U' R' U2 R2 U2 R U' R U R' U' R' U2 R' U' R'  (22f) 
U R' U R' U2 R' U2 R U R' U R' U R2 U R' U' R2 U2 R' U' R'  (22f) 
U' R2 U2 R2 U2 R' U' R U2 R' U2 R2 U2 R U' R U2 R2 U2 R' U' R'  (22f) 
U R U R' U2 R2 U R U R U2 R2 U R2 U R' U R2 U2 R' U' R'  (22f) 
U' R2 U' R' U' R' U R' U R U R' U2 R U' R U R U2 R' U' R'  (22f) 
U' R2 U R' U' R' U R' U R U R U2 R U' R U R U2 R' U' R'  (22f) 
U' R' U R U R' U R2 U' R U R U' R U' R' U' R' U R' U' R'  (22f) 
U2 R' U' R' U R U R' U' R' U R' U R U2 R U2 R' U R' U' R'  (22f) 
U2 R' U' R U R U R U' R' U R U R U' R2 U' R2 U R' U' R'  (22f) 
U R2 U R2 U2 R2 U' R U' R2 U2 R U' R' U' R2 U2 R2 U R' U' R'  (22f) 
U' R' U2 R2 U R' U R2 U2 R2 U' R2 U R' U' R2 U2 R2 U R' U' R'  (22f) 
U2 R U R' U' R' U' R' U R U R U R U' R2 U R2 U R' U' R'  (22f) 
U2 R U R U R U R U R U' R' U' R' U R2 U R2 U R' U' R'  (22f) 
U R' U R U R2 U R' U2 R2 U2 R2 U2 R' U' R U R2 U R' U' R'  (22f) 
U R' U R U R2 U R U2 R2 U2 R2 U2 R U' R U R2 U R' U' R'  (22f) 
U' R' U R U R' U R2 U R U R U' R U' R' U' R U R' U' R'  (22f) 
U R U R' U' R U R' U' R' U R2 U R' U2 R2 U' R U R' U' R'  (22f) 
U R U R' U' R' U2 R' U R2 U2 R2 U' R' U' R' U2 R U R' U' R'  (22f) 
U' R2 U R2 U' R' U R2 U2 R U R2 U2 R U' R' U2 R U R' U' R'  (22f) 
U2 R' U' R' U' R U' R' U2 R' U2 R U' R' U' R' U R U R' U' R'  (22f) 
U2 R' U' R' U R' U2 R U2 R U R' U R' U' R' U R U R' U' R'  (22f) 
U R U2 R U2 R2 U' R U R' U2 R U' R' U2 R U R U R' U' R'  (22f) 
U R2 U2 R2 U R U R U2 R2 U2 R' U R U R' U' R' U' R2 U' R'  (22f) 
U' R2 U2 R U2 R' U' R2 U2 R2 U' R U R2 U' R2 U' R' U' R2 U' R'  (22f) 
U R2 U2 R U R2 U2 R2 U' R U' R2 U2 R2 U' R U' R' U' R2 U' R'  (22f) 
U' R2 U2 R U R' U' R U' R' U R2 U2 R U' R U' R' U' R2 U' R'  (22f) 
U R2 U' R' U2 R' U R U R U2 R2 U2 R U R2 U R' U' R2 U' R'  (22f) 
U2 R2 U2 R' U R' U2 R2 U2 R' U R' U R2 U2 R U R' U' R2 U' R'  (22f) 
U2 R' U R2 U2 R2 U2 R U R U' R' U2 R' U' R2 U' R2 U' R2 U' R'  (22f) 
U2 R2 U R2 U R' U2 R2 U2 R U' R' U R' U R2 U' R2 U' R2 U' R'  (22f) 
U2 R U2 R2 U2 R2 U R' U2 R' U' R' U R U' R' U2 R2 U' R2 U' R'  (22f) 
U' R' U' R' U' R U' R2 U R' U' R' U R2 U R' U2 R2 U' R2 U' R'  (22f) 
U' R2 U2 R' U2 R U R U2 R2 U' R U R U R2 U2 R2 U' R2 U' R'  (22f) 
U2 R2 U2 R2 U' R2 U' R2 U2 R2 U R2 U2 R' U' R2 U2 R U' R2 U' R'  (22f) 
U' R2 U' R U' R' U' R U R U R' U R U' R U' R' U2 R2 U' R'  (22f) 
U R' U R U2 R U R2 U2 R U R2 U R' U' R' U' R2 U2 R2 U' R'  (22f) 
U R U' R' U R' U' R U' R' U R' U R U R' U2 R U2 R2 U' R'  (22f) 
U' R2 U2 R' U R' U2 R2 U2 R U R U R' U' R U R U2 R2 U' R'  (22f) 
U R U' R U R U2 R' U' R' U2 R' U R2 U2 R2 U' R2 U R2 U' R'  (22f) 
U2 R U' R' U2 R U2 R U' R U2 R2 U R U2 R' U2 R2 U R2 U' R'  (22f) 
U R' U' R2 U2 R2 U2 R' U2 R U R2 U R U2 R2 U2 R2 U R2 U' R'  (22f) 
U2 R U R' U R' U' R2 U2 R' U' R' U2 R U R U2 R2 U R2 U' R'  (22f) 
U2 R' U2 R' U R' U' R U R' U R2 U R2 U2 R' U R2 U R2 U' R'  (22f) 
U' R U2 R U' R U R' U' R U' R2 U' R U2 R' U R2 U R2 U' R'  (22f) 
U' R' U2 R' U2 R2 U R' U' R' U2 R' U R U' R' U R U R2 U' R'  (22f) 
U R U2 R' U' R U' R U R U R' U' R' U' R' U' R' U' R U' R'  (22f) 
U R2 U' R U R2 U' R' U' R2 U R U2 R U2 R' U' R' U' R U' R'  (22f) 
U' R2 U' R2 U R U2 R' U' R U' R' U R2 U R' U2 R' U' R U' R'  (22f) 
U R' U2 R U R2 U2 R U' R U2 R U' R U2 R' U R' U' R U' R'  (22f) 
U2 R U R U' R2 U R U R' U R U2 R U R' U R' U' R U' R'  (22f) 
U R U2 R' U' R' U R' U' R' U' R' U R U R' U R' U' R U' R'  (22f) 
U2 R' U2 R' U R U2 R U2 R U2 R' U R U2 R2 U R' U' R U' R'  (22f) 
U2 R' U' R U R U R U' R' U R' U' R2 U R2 U R' U' R U' R'  (22f) 
U R2 U2 R' U' R' U R2 U2 R2 U' R U' R' U' R U R' U' R U' R'  (22f) 
U R U2 R U R U R2 U' R' U' R' U2 R' U' R U R' U' R U' R'  (22f) 
U R2 U' R' U' R2 U R U R U2 R2 U2 R' U' R U R' U' R U' R'  (22f) 
U R U R' U R2 U2 R2 U' R U R U2 R2 U' R U R' U' R U' R'  (22f) 
U R U2 R2 U2 R' U' R' U' R2 U R U R2 U' R U R' U' R U' R'  (22f) 
U' R U2 R2 U R U2 R U' R' U2 R U2 R' U R' U' R U' R U' R'  (22f) 
U' R' U2 R U R' U R2 U R' U' R' U2 R U R' U R U' R U' R'  (22f) 
U R U2 R' U' R U R' U' R' U' R' U' R U R U R U' R U' R'  (22f) 
U R U2 R' U R' U' R' U R2 U' R2 U' R' U R2 U R' U2 R U' R'  (22f) 
U' R U R U R U' R' U R U R2 U R' U' R U' R2 U2 R U' R'  (22f) 
U R2 U2 R' U2 R' U' R' U' R U' R U R2 U R' U2 R2 U2 R U' R'  (22f) 
U' R U2 R' U R' U' R U' R2 U R2 U' R' U R2 U R U2 R U' R'  (22f) 
U R' U' R' U' R' U R' U R U' R U2 R2 U' R U R U2 R U' R'  (22f) 
U R U2 R' U2 R2 U' R' U' R U' R U R U2 R U R U2 R U' R'  (22f) 
U R2 U R U R U R2 U R' U R U' R2 U R' U' R' U R U' R'  (22f) 
U' R U' R U2 R U' R2 U R' U2 R' U R' U' R U R' U R U' R'  (22f) 
U R' U R' U2 R2 U' R2 U R2 U2 R U' R U R U R' U R U' R'  (22f) 
U2 R U R U2 R U' R' U R2 U2 R' U' R U R U' R2 U R U' R'  (22f) 
U2 R U R U R' U' R' U R U2 R2 U' R U R' U2 R2 U R U' R'  (22f) 
U R U2 R U2 R U R U2 R U R' U R' U' R U2 R2 U R U' R'  (22f) 
U2 R U R' U R2 U' R U' R' U' R' U R U R' U R2 U R U' R'  (22f) 
U' R2 U' R U2 R2 U R U' R U' R' U R' U' R' U' R U R U' R'  (22f) 
U2 R' U' R U' R' U R2 U R2 U' R' U R' U' R U R U R U' R'  (22f) 
U2 R' U' R' U R2 U' R2 U' R U R U R' U' R U R U R U' R'  (22f) 
U' R U2 R' U' R U R' U R2 U2 R2 U' R' U R U' R' U' R' U2 R'  (22f) 
U R' U R2 U R U R' U R' U2 R2 U2 R' U' R' U R' U' R' U2 R'  (22f) 
U' R2 U R U' R' U' R' U R' U' R U' R' U2 R' U R' U' R' U2 R'  (22f) 
U2 R2 U2 R U' R' U' R U2 R U R' U R2 U2 R U R' U' R' U2 R'  (22f) 
U R2 U R' U R U' R' U' R' U2 R' U2 R2 U2 R U' R2 U' R' U2 R'  (22f) 
U R U' R U2 R2 U R U' R2 U2 R U' R' U' R U2 R2 U' R' U2 R'  (22f) 
U' R2 U' R U' R U R2 U R' U2 R' U R U' R U R2 U' R' U2 R'  (22f) 
U R' U' R2 U2 R2 U' R U R2 U' R U2 R' U2 R2 U2 R U' R' U2 R'  (22f) 
U' R2 U R' U' R U R2 U' R' U R2 U2 R U R2 U2 R U' R' U2 R'  (22f) 
U2 R' U R2 U R' U R U2 R' U R2 U R2 U2 R2 U' R' U2 R' U2 R'  (22f) 
U R2 U R U R2 U' R' U R2 U' R U R' U' R U R U2 R' U2 R'  (22f) 
U R U' R' U' R U R U' R2 U' R' U2 R U' R' U' R' U R' U2 R'  (22f) 
U R' U2 R U' R U2 R U' R2 U' R2 U2 R2 U2 R2 U' R' U R' U2 R'  (22f) 
U2 R' U' R2 U R2 U R' U2 R2 U R2 U R' U R U' R' U R' U2 R'  (22f) 
U R' U2 R U' R U2 R U' R2 U R2 U2 R2 U2 R2 U R' U R' U2 R'  (22f) 
U R U R U R' U' R2 U' R2 U' R2 U R' U R U' R2 U R' U2 R'  (22f) 
U2 R' U' R U' R' U R2 U2 R U R' U2 R U2 R U2 R U R' U2 R'  (22f) 
U2 R U R' U R U' R2 U' R2 U' R U' R' U' R2 U R U R' U2 R'  (22f) 
U2 R U R U' R2 U R2 U R' U2 R U R U2 R' U' R' U' R2 U2 R'  (22f) 
U R2 U' R' U2 R2 U2 R' U R' U' R U R' U' R2 U' R' U' R2 U2 R'  (22f) 
U' R' U R' U2 R U' R' U' R' U R U' R2 U R2 U' R' U' R2 U2 R'  (22f) 
U2 R U' R2 U' R U R U2 R' U R2 U' R U R' U R2 U' R2 U2 R'  (22f) 
U R2 U2 R U2 R U R' U' R U R' U R2 U2 R2 U R2 U' R2 U2 R'  (22f) 
U R' U2 R U2 R' U R2 U2 R' U' R' U2 R' U2 R' U2 R U' R2 U2 R'  (22f) 
U2 R U2 R U' R2 U R U2 R2 U R' U' R U' R' U2 R' U2 R2 U2 R'  (22f) 
U' R2 U' R' U2 R2 U' R U R' U R U' R U2 R U R' U2 R2 U2 R'  (22f) 
U R U2 R2 U' R U' R2 U2 R U' R' U2 R U R' U' R2 U2 R2 U2 R'  (22f) 
U2 R2 U R2 U R U R2 U2 R U' R' U R2 U R2 U' R2 U2 R2 U2 R'  (22f) 
U' R U2 R' U' R U R' U2 R' U' R' U R U' R' U2 R2 U2 R2 U2 R'  (22f) 
U' R' U2 R U R' U' R U2 R U R U' R' U R' U2 R2 U2 R2 U2 R'  (22f) 
U R2 U' R U2 R' U2 R U' R U R' U' R' U R2 U R U2 R2 U2 R'  (22f) 
U R' U2 R U' R U2 R' U2 R' U R' U2 R2 U2 R2 U' R' U R2 U2 R'  (22f) 
U R' U2 R U R' U' R U2 R U2 R U2 R2 U2 R2 U R' U R2 U2 R'  (22f) 
U' R2 U2 R' U R' U R2 U2 R2 U' R' U R2 U R U R2 U R2 U2 R'  (22f) 
U2 R2 U R' U2 R' U' R U' R' U2 R U2 R2 U R U2 R U R2 U2 R'  (22f) 
U R' U2 R2 U R' U' R2 U R U' R' U R U' R U R U R2 U2 R'  (22f) 
U R U R' U' R' U2 R' U R2 U R U' R' U2 R U R U R2 U2 R'  (22f) 
U R2 U R2 U' R' U' R U R' U R U' R U R' U2 R2 U' R U2 R'  (22f) 
U2 R2 U R' U' R U' R2 U' R U R' U2 R' U R U' R U' R U2 R'  (22f) 
U2 R U R' U' R' U' R U R2 U R' U R' U2 R U2 R U' R U2 R'  (22f) 
U2 R U2 R' U R' U' R U' R2 U R U' R2 U R' U R U' R U2 R'  (22f) 
U R2 U R' U' R U2 R U' R2 U2 R2 U R2 U R U R U' R U2 R'  (22f) 
U2 R U' R' U2 R' U R2 U' R' U2 R2 U R U2 R U R2 U2 R U2 R'  (22f) 
U' R' U2 R U' R U R' U R' U' R2 U R' U2 R' U' R U2 R U2 R'  (22f) 
U R U R2 U' R2 U' R' U2 R2 U R' U' R' U2 R2 U2 R U2 R U2 R'  (22f) 
U R' U' R U R2 U2 R U' R2 U' R2 U R U2 R2 U2 R U2 R U2 R'  (22f) 
U2 R' U' R' U' R' U2 R U' R' U2 R U R2 U' R U2 R U2 R U2 R'  (22f) 
U2 R2 U R' U' R2 U' R U R U2 R U' R U' R' U R' U R U2 R'  (22f) 
U' R' U R' U2 R2 U R' U' R' U2 R2 U' R U2 R2 U' R U R U2 R'  (22f) 
U2 R U R2 U2 R U R' U R2 U' R2 U' R U' R' U2 R U R U2 R'  (22f) 
U2 R2 U R' U' R2 U2 R U2 R U2 R U' R2 U R' U' R' U' R' U R'  (22f) 
U' R2 U R2 U' R' U' R U' R2 U' R' U R' U' R U' R' U' R' U R'  (22f) 
U' R' U R U2 R' U R U R U' R2 U' R' U2 R U' R' U' R' U R'  (22f) 
U R2 U' R' U2 R2 U2 R U2 R2 U R' U' R U R' U' R2 U' R' U R'  (22f) 
U2 R2 U2 R U2 R2 U R U' R U2 R U' R U R' U' R2 U' R' U R'  (22f) 
U2 R2 U2 R U R' U2 R' U' R U' R2 U R U' R2 U' R' U2 R' U R'  (22f) 
U2 R2 U2 R' U2 R2 U R U' R U R2 U R U' R' U R' U2 R' U R'  (22f) 
U R U' R2 U2 R' U R U' R U' R2 U' R2 U' R' U2 R2 U2 R' U R'  (22f) 
U' R U' R U' R U2 R' U2 R2 U R2 U R U' R U' R2 U R' U R'  (22f) 
U' R' U R' U2 R U' R' U' R U' R2 U' R U2 R' U R U R' U R'  (22f) 
U2 R2 U R' U R' U2 R U R' U R' U R U2 R' U2 R2 U' R2 U R'  (22f) 
U' R U' R2 U R2 U' R U' R U R2 U R2 U2 R' U2 R U' R2 U R'  (22f) 
U2 R2 U' R' U R2 U' R2 U' R' U2 R U2 R' U' R2 U2 R U' R2 U R'  (22f) 
U R2 U2 R' U2 R2 U R' U' R U2 R' U R U2 R U' R2 U2 R2 U R'  (22f) 
U2 R' U' R2 U' R2 U' R2 U' R' U2 R' U' R U R U2 R2 U2 R2 U R'  (22f) 
U' R2 U2 R' U2 R' U R2 U R U R2 U R2 U' R' U R2 U2 R2 U R'  (22f) 
U' R U2 R' U' R' U2 R2 U' R2 U' R' U' R U R' U R2 U2 R2 U R'  (22f) 
U R U R2 U R U R' U R U' R2 U' R U2 R' U' R U2 R2 U R'  (22f) 
U' R2 U' R2 U2 R2 U R' U' R2 U' R U' R' U R' U' R U2 R2 U R'  (22f) 
U R2 U R U' R2 U' R' U R2 U' R U R' U2 R2 U R U2 R2 U R'  (22f) 
U R2 U R U2 R U' R' U' R' U2 R2 U2 R U' R2 U' R' U R2 U R'  (22f) 
U R2 U R U2 R2 U2 R2 U' R U2 R U' R' U' R U R' U R2 U R'  (22f) 
U2 R U' R2 U' R U R2 U2 R' U2 R' U' R2 U' R U R' U R2 U R'  (22f) 
U2 R U R2 U2 R U R' U R2 U2 R' U' R' U2 R U R' U R2 U R'  (22f) 
U2 R' U2 R' U2 R' U' R2 U2 R2 U R2 U R' U2 R U R' U R2 U R'  (22f) 
U2 R2 U2 R U R' U R2 U R U2 R U' R' U2 R U' R U R2 U R'  (22f) 
U2 R2 U2 R U' R2 U' R2 U' R U R2 U R' U2 R U2 R U R2 U R'  (22f) 
U R' U R' U' R U R U2 R' U2 R' U' R2 U R' U2 R2 U' R U R'  (22f) 
